,time_iter_pso
0,8.0553297996521
1,5.490496873855591
2,5.6785759925842285
3,6.787848711013794
4,5.498921632766724
5,6.037651538848877
6,6.273821830749512
7,5.8705644607543945
8,8.583606958389282
9,7.060072183609009
10,6.641762733459473
11,5.974045753479004
12,6.960555553436279
13,7.72472620010376
14,6.3211236000061035
15,6.929454803466797
16,7.982538223266602
17,6.500891923904419
18,5.82252311706543
19,5.908092737197876
20,6.531089782714844
21,5.9419708251953125
22,6.445512056350708
23,6.074891567230225
24,6.107298851013184
25,6.828017711639404
26,6.176943063735962
27,6.293439149856567
28,5.9933552742004395
29,6.041077375411987
30,6.063779354095459
31,6.292004346847534
32,6.259929180145264
33,6.803760528564453
34,5.90504264831543
35,6.719915866851807
36,6.307027101516724
37,6.504504442214966
38,6.475477457046509
39,6.009013652801514
40,6.103209733963013
41,5.922321081161499
42,6.368849992752075
43,6.984074115753174
44,5.701731443405151
45,6.461211919784546
46,6.145929336547852
47,6.349937677383423
48,6.3256964683532715
49,5.822749137878418
50,7.2282257080078125
51,6.495568037033081
52,6.4282262325286865
53,6.194593906402588
54,6.00553297996521
55,6.045331001281738
56,5.700513601303101
57,5.2816948890686035
58,5.835332632064819
59,5.877014636993408
60,5.544093132019043
61,6.481901168823242
62,5.783302545547485
63,6.112818002700806
64,6.0515100955963135
65,5.396464824676514
66,6.296019792556763
67,5.635797023773193
68,5.899490594863892
69,6.817997455596924
70,5.835869312286377
71,5.821344614028931
72,6.617831468582153
73,7.459691762924194
74,8.984970808029175
75,7.720785617828369
76,6.3931615352630615
77,6.355337142944336
78,6.069394588470459
79,5.965847492218018
80,7.150089740753174
81,6.560047149658203
82,5.9833478927612305
83,6.5540101528167725
84,6.372016191482544
85,6.309383392333984
86,6.548784971237183
87,6.107666969299316
88,6.41185998916626
89,6.189008951187134
90,5.7927610874176025
91,6.651293516159058
92,8.347153186798096
93,9.594446182250977
94,7.025085926055908
95,7.535484552383423
96,6.304669618606567
97,6.807589292526245
98,7.109902381896973
99,6.626356363296509
100,9.533242225646973
101,6.542512655258179
102,9.41438341140747
103,8.418056964874268
104,10.242066383361816
105,11.999932527542114
106,8.246685028076172
107,10.967766523361206
108,13.363531589508057
109,13.955186128616333
110,19.9258131980896
111,16.49000096321106
112,18.258389472961426
113,21.281519412994385
114,18.717750072479248
115,18.30687665939331
116,18.71664261817932
117,18.448451042175293
118,17.038010597229004
119,20.647600889205933
120,18.887691497802734
121,16.672714710235596
122,20.544681787490845
123,21.391891956329346
124,20.302595376968384
125,14.957513093948364
126,17.40914821624756
127,16.327228784561157
128,18.38301110267639
129,17.577827215194702
130,18.296201705932617
131,15.149089574813843
132,18.57928228378296
133,16.0094575881958
134,15.388536930084229
135,17.70960831642151
136,14.512500524520874
137,19.90461301803589
138,8.153900861740112
139,5.86888313293457
140,6.228846311569214
141,5.6907453536987305
142,6.140015363693237
143,5.779682397842407
144,5.754737615585327
145,6.393216609954834
146,6.080685377120972
147,6.066932916641235
148,7.291514158248901
149,5.734201908111572
150,6.487810850143433
151,6.005473613739014
152,5.542053461074829
153,6.003373861312866
154,5.740230321884155
155,5.8633506298065186
156,6.244371175765991
157,5.638904094696045
158,6.402948617935181
159,5.76378607749939
160,5.302534580230713
161,5.838345289230347
162,5.679452419281006
163,5.237250328063965
164,5.894053220748901
165,5.539011001586914
166,5.592559576034546
167,6.291967868804932
168,5.602184772491455
169,5.500735282897949
170,5.917086601257324
171,5.377684831619263
172,6.1109418869018555
173,5.878512144088745
174,5.962971210479736
175,6.029864072799683
176,6.029687881469727
177,5.888874530792236
178,6.486680746078491
179,5.780794143676758
180,5.624162912368774
181,5.7798919677734375
182,5.52861762046814
183,5.849660396575928
184,5.792270660400391
185,6.2967047691345215
186,6.310832977294922
187,5.975230932235718
188,5.6403961181640625
189,6.161122560501099
190,5.517419815063477
191,5.725452899932861
192,5.877227783203125
193,5.470519304275513
194,6.139649868011475
195,5.822532653808594
196,5.562801837921143
197,6.0237932205200195
198,6.169972896575928
199,5.975393056869507
200,7.720728635787964
201,5.295903205871582
202,6.037412166595459
203,5.224906921386719
204,5.372283935546875
205,6.240350723266602
206,5.433036804199219
207,5.972160339355469
208,6.083900213241577
209,5.443060874938965
210,6.024944305419922
211,5.907461881637573
212,5.319956541061401
213,5.852088212966919
214,5.756628751754761
215,5.72378396987915
216,6.329186916351318
217,6.348175287246704
218,5.9033613204956055
219,6.4510414600372314
220,5.867206811904907
221,5.979877233505249
222,5.581022500991821
223,5.413988828659058
224,5.90923547744751
225,5.605893611907959
226,5.466857194900513
227,6.4482526779174805
228,5.432510614395142
229,5.8490824699401855
230,5.942483186721802
231,5.314918756484985
232,5.580053091049194
233,6.8039774894714355
234,5.9869630336761475
235,6.32475471496582
236,6.13968825340271
237,5.715278148651123
238,6.034073114395142
239,5.477384328842163
240,6.66993260383606
241,5.979591131210327
242,5.51800012588501
243,5.876015901565552
244,5.408405065536499
245,5.25122594833374
246,6.231557130813599
247,5.87970757484436
248,6.045900344848633
249,6.303955554962158
250,5.817090272903442
251,6.135761022567749
252,5.735447883605957
253,5.501814603805542
254,6.072503566741943
255,6.364630460739136
256,6.125409126281738
257,6.107656240463257
258,5.68895411491394
259,6.144165277481079
260,5.596912860870361
261,5.55652642250061
262,6.371853351593018
263,5.696357488632202
264,5.597565412521362
265,6.179384708404541
266,5.508362293243408
267,5.781702518463135
268,5.904633522033691
269,5.942423582077026
270,6.3018271923065186
271,5.6543190479278564
272,5.634900808334351
273,6.0222086906433105
274,5.477046966552734
275,5.508720636367798
276,5.9420225620269775
277,5.345857620239258
278,5.8034727573394775
279,6.581166744232178
280,5.336062431335449
281,6.031895637512207
282,5.630784273147583
283,5.376208543777466
284,6.639552593231201
285,6.037750959396362
286,5.756395578384399
287,5.756925106048584
288,5.352273941040039
289,5.589897155761719
290,5.856327295303345
291,5.185654163360596
292,5.927923202514648
293,5.671894311904907
294,5.440747022628784
295,6.445781230926514
296,6.103809595108032
297,5.840365886688232
298,6.043556451797485
299,5.375605821609497
300,7.309150695800781
301,5.7179083824157715
302,5.524730205535889
303,5.938314437866211
304,5.51160192489624
305,5.570785999298096
306,6.145274639129639
307,5.937162399291992
308,5.734139442443848
309,6.198096036911011
310,5.354419231414795
311,5.976095199584961
312,5.822232484817505
313,5.255356550216675
314,5.940799713134766
315,5.847800254821777
316,5.5180885791778564
317,5.99413537979126
318,5.5620808601379395
319,5.733481407165527
320,6.712194442749023
321,5.773987770080566
322,6.754355430603027
323,6.5711846351623535
324,6.174251079559326
325,6.426942586898804
326,5.94734263420105
327,6.019696474075317
328,6.195577383041382
329,5.4876415729522705
330,6.034404516220093
331,5.627325057983398
332,5.485667943954468
333,5.950053691864014
334,5.479759931564331
335,6.077367067337036
336,6.996262788772583
337,6.673380613327026
338,6.741004228591919
339,5.689410924911499
340,6.43268084526062
341,6.436105728149414
342,6.100934028625488
343,6.215210437774658
344,6.315041780471802
345,6.691234111785889
346,6.497045516967773
347,6.220258474349976
348,6.418145179748535
349,5.787973403930664
350,5.7702062129974365
351,6.290109872817993
352,5.59031343460083
353,5.704611539840698
354,6.23431396484375
355,5.508533239364624
356,5.84280800819397
357,6.01761794090271
358,5.450867414474487
359,6.05659818649292
360,7.31968879699707
361,5.764514207839966
362,5.505238056182861
363,5.165725469589233
364,5.398558855056763
365,5.64287257194519
366,5.231057405471802
367,5.405163764953613
368,5.577059030532837
369,5.104130268096924
370,5.575987339019775
371,5.669397592544556
372,5.143638610839844
373,5.5120930671691895
374,5.416505813598633
375,5.10817551612854
376,5.4277496337890625
377,5.40825629234314
378,5.199864864349365
379,5.5615856647491455
380,5.388038635253906
381,5.1451096534729
382,5.679064512252808
383,5.508800745010376
384,5.35628867149353
385,5.597626686096191
386,5.467303514480591
387,5.550342321395874
388,5.7353339195251465
389,5.2859272956848145
390,5.194475412368774
391,6.330810308456421
392,5.900616407394409
393,5.270521640777588
394,5.676518678665161
395,5.446332693099976
396,5.30977725982666
397,5.691561222076416
398,5.497596979141235
399,5.2742390632629395
400,7.164576053619385
401,5.206815481185913
402,5.522264719009399
403,5.537107229232788
404,5.202486753463745
405,5.487365961074829
406,5.514256715774536
407,5.1576926708221436
408,5.522989988327026
409,5.444694519042969
410,5.101335287094116
411,5.501266956329346
412,5.33443284034729
413,5.052088737487793
414,5.595855474472046
415,5.625246047973633
416,5.232580661773682
417,5.585224866867065
418,5.289379119873047
419,5.148127794265747
420,5.486779451370239
421,5.4169323444366455
422,5.137937784194946
423,5.487286329269409
424,5.297083854675293
425,5.324081182479858
426,5.63999080657959
427,5.431416749954224
428,5.105774402618408
429,5.70396876335144
430,5.299849510192871
431,5.179630517959595
432,5.638345956802368
433,5.3029420375823975
434,5.202648639678955
435,5.723823308944702
436,5.294773578643799
437,5.268560886383057
438,5.840596914291382
439,5.353460073471069
440,5.208073139190674
441,5.70185661315918
442,5.266473054885864
443,5.2044878005981445
444,5.715952634811401
445,5.238225698471069
446,5.331584215164185
447,5.587554693222046
448,5.299519300460815
449,5.297170400619507
450,5.626477956771851
451,5.412344694137573
452,5.391939401626587
453,5.717912435531616
454,5.169080495834351
455,5.266647100448608
456,5.701094150543213
457,5.239214658737183
458,5.278316974639893
459,5.753216981887817
460,5.309990882873535
461,5.520528554916382
462,5.680297136306763
463,5.179575681686401
464,5.455078363418579
465,5.5778021812438965
466,5.109380483627319
467,5.430277109146118
468,5.713688373565674
469,5.215951919555664
470,5.690949440002441
471,5.723357200622559
472,5.328068256378174
473,5.554838180541992
474,5.37742805480957
475,5.160695314407349
476,5.59916615486145
477,5.367631912231445
478,5.208030939102173
479,5.643950939178467
480,5.3509840965271
481,5.277684211730957
482,5.655378341674805
483,5.417304992675781
484,5.253809213638306
485,5.611339092254639
486,5.402075290679932
487,5.147988796234131
488,5.536895036697388
489,5.338730096817017
490,5.142010450363159
491,5.494605779647827
492,5.366384267807007
493,5.219382286071777
494,5.727756023406982
495,5.2048704624176025
496,5.217535972595215
497,5.6589813232421875
