,time_iter_cmbo
0,6.989707946777344
1,5.557817459106445
2,5.863374471664429
3,6.028489351272583
4,5.842319965362549
5,6.162689685821533
6,5.805242538452148
7,7.738943099975586
8,6.947291374206543
9,7.735849618911743
10,7.79267954826355
11,7.65005350112915
12,7.783060789108276
13,8.904004573822021
14,9.676762104034424
15,8.258143663406372
16,7.576109886169434
17,9.321925163269043
18,8.542369604110718
19,8.681128025054932
20,9.154933214187622
21,7.505704164505005
22,7.600144624710083
23,8.144511222839355
24,7.4064717292785645
25,8.2959623336792
26,7.577656507492065
27,8.69283390045166
28,7.6411073207855225
29,8.144267082214355
30,7.223890781402588
31,7.8632285594940186
32,7.302588701248169
33,8.444963932037354
34,7.667324066162109
35,8.129197835922241
36,7.813878774642944
37,8.118370294570923
38,7.532083034515381
39,7.749519109725952
40,7.4159255027771
41,8.125351428985596
42,7.632796287536621
43,7.8358776569366455
44,7.590847730636597
45,8.030621767044067
46,7.320411682128906
47,8.593567371368408
48,8.313441753387451
49,7.749053955078125
50,7.42482590675354
51,7.636517763137817
52,7.168166637420654
53,6.88491678237915
54,7.636815547943115
55,7.020835876464844
56,8.020586490631104
57,7.117881774902344
58,8.00692105293274
59,6.869389533996582
60,7.676604747772217
61,7.329065799713135
62,7.766797780990601
63,7.651656866073608
64,7.441564083099365
65,8.703244686126709
66,10.639487743377686
67,9.57282543182373
68,8.218088150024414
69,7.817062139511108
70,7.59900689125061
71,8.959017992019653
72,7.982985973358154
73,7.685783863067627
74,8.28467607498169
75,7.7811055183410645
76,8.094090700149536
77,7.596790313720703
78,7.905979156494141
79,7.5744850635528564
80,8.789802312850952
81,10.785786390304565
82,8.97705626487732
83,9.16389775276184
84,7.930635452270508
85,8.877332210540771
86,8.216138362884521
87,9.302715063095093
88,8.095118284225464
89,10.601521015167236
90,10.424675464630127
91,13.242246866226196
92,11.215373992919922
93,12.719695806503296
94,15.53531265258789
95,17.587020874023438
96,19.534986972808838
97,17.798951387405396
98,20.47805404663086
99,20.129944562911987
100,25.43061351776123
101,19.89981484413147
102,19.57970881462097
103,20.108750343322754
104,22.941524505615234
105,20.243475437164307
106,17.040956735610962
107,21.343706607818604
108,19.914831161499023
109,18.82347345352173
110,17.65465259552002
111,19.245318174362183
112,20.397825002670288
113,19.852882385253906
114,18.701220273971558
115,18.177958726882935
116,20.11835265159607
117,18.868065118789673
118,18.257734775543213
119,18.884462118148804
120,20.83512806892395
121,14.207032203674316
122,7.610434532165527
123,7.707758665084839
124,7.088625907897949
125,7.693480014801025
126,7.297837257385254
127,7.862470388412476
128,7.160054683685303
129,8.969429731369019
130,7.653680801391602
131,8.341235876083374
132,7.059638023376465
133,7.443824052810669
134,7.097423553466797
135,7.614436626434326
136,7.386268854141235
137,7.818847894668579
138,7.312609434127808
139,6.700866222381592
140,7.543879508972168
141,6.712193727493286
142,7.1265318393707275
143,6.913552761077881
144,7.333483457565308
145,7.422984838485718
146,7.068168878555298
147,7.134936332702637
148,7.451489686965942
149,7.437143087387085
150,7.406556129455566
151,7.40154767036438
152,7.457204341888428
153,7.921125888824463
154,7.436672925949097
155,7.0550291538238525
156,7.057523727416992
157,7.32299542427063
158,7.256893873214722
159,7.888546943664551
160,7.720226526260376
161,7.153738021850586
162,7.545551300048828
163,7.012883424758911
164,7.48639702796936
165,6.7216267585754395
166,7.685944318771362
167,7.357314348220825
168,7.442760705947876
169,7.544388055801392
170,7.587871074676514
171,6.92205023765564
172,7.127876281738281
173,7.054297685623169
174,6.824813604354858
175,7.844190835952759
176,6.692713737487793
177,7.7312469482421875
178,7.017493724822998
179,7.6261985301971436
180,7.1178178787231445
181,7.124881982803345
182,7.380102157592773
183,7.422178030014038
184,7.806466102600098
185,7.539805173873901
186,8.034862995147705
187,7.299922227859497
188,7.619988918304443
189,6.9317498207092285
190,7.3325042724609375
191,6.9944236278533936
192,7.753961086273193
193,7.087425231933594
194,7.33974814414978
195,7.106227159500122
196,6.7883806228637695
197,8.07525110244751
198,7.552538156509399
199,7.859670877456665
200,9.102928400039673
201,7.512402296066284
202,7.027560234069824
203,8.498193979263306
204,6.821167469024658
205,7.385955095291138
206,6.698315143585205
207,7.357403755187988
208,7.511553525924683
209,7.603466510772705
210,7.671476602554321
211,7.527751922607422
212,7.1793742179870605
213,7.119962453842163
214,7.512736082077026
215,7.903296232223511
216,7.5463714599609375
217,7.205091714859009
218,7.462958812713623
219,6.813961744308472
220,7.824119806289673
221,7.0837178230285645
222,7.207831859588623
223,7.259371042251587
224,7.373866558074951
225,7.2513697147369385
226,7.610918283462524
227,7.387930631637573
228,7.0883259773254395
229,7.392767906188965
230,6.7553582191467285
231,7.2268781661987305
232,6.847489356994629
233,7.535800933837891
234,7.558591842651367
235,7.070306062698364
236,7.05212926864624
237,7.143797874450684
238,8.178719997406006
239,7.220584154129028
240,7.383731365203857
241,6.603819847106934
242,7.334680080413818
243,6.7687413692474365
244,7.19329309463501
245,6.808640718460083
246,7.514146327972412
247,7.873991250991821
248,7.40971040725708
249,7.331331968307495
250,6.7578959465026855
251,7.18133544921875
252,6.960856199264526
253,7.401163339614868
254,6.9819276332855225
255,7.094530344009399
256,7.4905970096588135
257,7.163029909133911
258,7.467612266540527
259,6.696871280670166
260,7.643172025680542
261,7.01749062538147
262,7.476228952407837
263,7.088438272476196
264,7.272321939468384
265,6.939835071563721
266,7.389814853668213
267,7.95451807975769
268,7.710487604141235
269,8.358356952667236
270,7.647345066070557
271,8.07273530960083
272,7.349000930786133
273,7.889809846878052
274,6.871116399765015
275,7.625019550323486
276,6.68906569480896
277,7.159568786621094
278,6.761927366256714
279,7.7056567668914795
280,8.397228479385376
281,8.269743919372559
282,7.225203514099121
283,7.782676458358765
284,7.698843479156494
285,7.464216947555542
286,7.648090124130249
287,7.924324989318848
288,7.629335165023804
289,7.942158937454224
290,7.348347902297974
291,6.919514894485474
292,7.682692289352417
293,6.821800231933594
294,7.642929553985596
295,6.923969745635986
296,7.3164873123168945
297,7.108517646789551
298,6.9828643798828125
299,8.379703760147095
300,9.09683609008789
301,6.477895975112915
302,6.423403024673462
303,6.683160066604614
304,6.268254995346069
305,6.8002235889434814
306,6.401866912841797
307,6.634706497192383
308,6.921822786331177
309,6.314072132110596
310,7.0172693729400635
311,6.25850772857666
312,6.638101100921631
313,6.577547073364258
314,6.160784482955933
315,6.869262218475342
316,6.232938051223755
317,6.721333026885986
318,6.546626329421997
319,6.416654586791992
320,6.606979608535767
321,6.673066854476929
322,6.803276777267456
323,6.355425834655762
324,6.737813711166382
325,7.141544580459595
326,6.677722930908203
327,6.777376413345337
328,6.571786403656006
329,6.682529449462891
330,6.7376556396484375
331,6.47175145149231
332,6.6521453857421875
333,6.149616241455078
334,6.5908544063568115
335,6.622194051742554
336,6.476855278015137
337,6.778512954711914
338,6.355161190032959
339,6.684051036834717
340,6.358352184295654
341,6.383530616760254
342,6.752395153045654
343,6.289092779159546
344,6.935502290725708
345,6.55220103263855
346,6.591046094894409
347,6.632937908172607
348,6.267500638961792
349,6.605782508850098
350,6.085326433181763
351,6.507583379745483
352,6.490538597106934
353,6.320964336395264
354,6.966921091079712
355,6.353918552398682
356,6.752913236618042
357,6.544252157211304
358,6.295140743255615
359,6.829291343688965
360,6.309585809707642
361,6.810553073883057
362,6.53602933883667
363,6.558422327041626
364,6.774466037750244
365,6.281049013137817
366,6.701419830322266
367,6.3680419921875
368,6.56646728515625
369,6.568207025527954
370,6.269169807434082
371,6.756664752960205
372,6.464916706085205
373,6.508446455001831
374,6.873422145843506
375,6.392622947692871
376,6.873934745788574
377,6.261288642883301
378,6.685681581497192
379,6.529112815856934
380,6.460825204849243
381,6.897148609161377
382,6.401438474655151
383,7.0071120262146
384,6.3289103507995605
385,6.593231916427612
386,6.668767213821411
387,6.198157787322998
388,6.79715633392334
389,6.193590402603149
390,6.661074638366699
391,6.906907796859741
392,6.5084404945373535
393,7.011639595031738
394,6.345681667327881
395,6.806506156921387
396,6.472885847091675
397,6.639061212539673
398,6.837367057800293
399,6.379904508590698
400,8.58251667022705
401,6.3409528732299805
402,6.694923639297485
403,6.451335430145264
404,6.432586431503296
405,6.832151651382446
406,6.2066566944122314
407,6.636600494384766
408,6.421825408935547
409,6.4712324142456055
410,6.7017457485198975
411,6.275973320007324
412,6.784674644470215
413,6.319864273071289
414,6.296509742736816
415,6.474040985107422
416,6.156581878662109
417,6.7293806076049805
418,6.285545110702515
419,6.389209747314453
420,6.476783037185669
421,6.257164478302002
422,6.637221097946167
423,6.118312358856201
424,6.423048734664917
425,6.517378330230713
426,6.26064133644104
427,7.045493841171265
428,6.41934871673584
429,6.613068342208862
430,6.607170820236206
431,6.322337627410889
432,6.943920373916626
433,6.180032014846802
434,6.652719974517822
435,6.432256460189819
436,6.506513357162476
437,6.94623589515686
438,6.417880058288574
439,7.384986162185669
440,7.064857006072998
441,7.7567057609558105
442,7.510695695877075
443,7.185057878494263
444,6.836371183395386
445,6.363804578781128
446,7.46009373664856
447,7.065253019332886
448,7.482094764709473
449,6.316778659820557
450,7.150449752807617
451,6.919794082641602
452,6.898586988449097
453,6.876132249832153
454,7.112646818161011
455,7.481044054031372
456,6.565157890319824
457,7.006744623184204
458,6.5477306842803955
459,6.929407358169556
460,6.7471537590026855
461,6.399139881134033
462,7.230374813079834
463,7.238905906677246
464,7.398730278015137
465,6.58188796043396
466,6.432281017303467
467,7.323753595352173
468,6.120258569717407
469,6.993145227432251
470,7.126962661743164
471,8.276999235153198
472,6.6938066482543945
473,7.069435358047485
474,7.334476947784424
475,7.053840637207031
476,7.263625860214233
477,6.804735898971558
478,7.279009819030762
479,6.676060676574707
480,7.344834566116333
481,6.764227867126465
482,6.72395920753479
483,6.790538311004639
484,6.535822629928589
485,7.001590013504028
